Class_Number,Drug_Class,Representative_Example_Drugs,Proposed_Mechanism,Strength_Frequency,References
1,Urological / bladder antimuscarinics (overactive bladder / incontinence),"Oxybutynin; tolterodine; solifenacin; darifenacin; fesoterodine; trospium","Direct M3 muscarinic blockade on salivary acini; intended bladder target shared by salivary glands",Very high (OR ~5.91; dose-dependent; top-cited xerogenic drugs),"Wolff 2017; Tan 2018; Sci Rep 2025"
2,Tricyclic antidepressants (TCAs),"Amitriptyline; nortriptyline; imipramine; clomipramine; doxepin","Potent antimuscarinic blockade (amitriptyline Ki ~25.9) plus alpha-1 adrenergic effects",Very high (highest-risk antidepressants; antidepressant class OR ~4.74; often moderate-to-severe),"Wolff 2017; Tan 2018; Talos-Kepes 2021; Maldonado-Puebla 2025"
3,SSRIs (selective serotonin reuptake inhibitors),"Paroxetine; fluoxetine; sertraline; citalopram; escitalopram","Central serotonergic modulation of salivary nuclei; paroxetine has notable antimuscarinic activity",High (paroxetine most xerogenic; fluoxetine top-cited; antidepressant class OR ~4.74),"Wolff 2017; Tan 2018; Maldonado-Puebla 2025"
4,SNRIs (serotonin-norepinephrine reuptake inhibitors),"Venlafaxine; duloxetine; desvenlafaxine","Combined serotonergic and noradrenergic (sympathomimetic) effects reduce fluid secretion",High (duloxetine and venlafaxine among top-cited drugs),"Wolff 2017; Tan 2018; Maldonado-Puebla 2025"
5,Other antidepressants,"Bupropion (NDRI); mirtazapine","Noradrenergic/dopaminergic (bupropion); mixed (mirtazapine)",High (bupropion among top-cited xerogenic drugs),"Wolff 2017; Maldonado-Puebla 2025"
6,Antipsychotics (typical and atypical),"Clozapine; olanzapine; quetiapine; chlorpromazine; risperidone","Antimuscarinic plus alpha-adrenergic blockade (clozapine/olanzapine strongly anticholinergic)",High (clozapine/olanzapine/quetiapine top-cited; psycholeptics OR ~2.59; clozapine may paradoxically cause sialorrhea),"Wolff 2017; Tan 2018; Maldonado-Puebla 2025"
7,Anticholinergic antiparkinson / antispasmodic agents,"Benztropine; trihexyphenidyl; dicyclomine; hyoscyamine; scopolamine","Direct central and peripheral muscarinic blockade",Very high (classic potent antimuscarinics),"Wolff 2017; Maldonado-Puebla 2025"
8,Antihistamines (sedating H1; 1st-generation),"Diphenhydramine; chlorpheniramine; hydroxyzine; promethazine","H1 antagonists with substantial off-target antimuscarinic activity",High (1st-gen; 2nd-gen agents much weaker),"Wolff 2017; Yousefi 2018; Maldonado-Puebla 2025"
9,Antihypertensives - central alpha-2 agonists,"Clonidine; methyldopa; guanfacine","Reduced central sympathetic outflow plus direct effects lower salivary secretion",High (clonidine well-recognized cause),"Wolff 2017; Yousefi 2018"
10,Antihypertensives - alpha-1 blockers,"Prazosin; terazosin; doxazosin","Alpha-1 adrenergic blockade reduces salivary protein/fluid output",Moderate,"Wolff 2017; Yousefi 2018"
11,Diuretics,"Furosemide; hydrochlorothiazide; bendroflumethiazide","Indirect - reduced extracellular fluid volume / dehydration lowers saliva production",Moderate,"Wolff 2017; Tan 2018; Yousefi 2018"
12,Beta-blockers,"Atenolol; propranolol; metoprolol","Beta-adrenergic blockade alters salivary composition/flow",Moderate (antihypertensives a leading reported cause),"Wolff 2017; Yousefi 2018"
13,Calcium channel blockers,"Amlodipine; nifedipine; diltiazem","Associated with xerostomia in systematic catalogues (mechanism less direct)",Low-Moderate,"Wolff 2017"
14,ACE inhibitors,"Captopril; enalapril; lisinopril","Implicated in oral reactions including dry mouth (also taste change)",Low-Moderate,"Yousefi 2018"
15,Opioid analgesics,"Morphine; codeine; tramadol; oxycodone; methadone","Central depression of salivary reflex plus autonomic effects",Moderate,"Wolff 2017; Mortazavi 2022"
16,Skeletal muscle relaxants,"Cyclobenzaprine; tizanidine; baclofen","Anticholinergic (cyclobenzaprine) / central effects",Moderate,"Wolff 2017; Yousefi 2018"
17,Benzodiazepines and Z-drugs / sedative-hypnotics,"Diazepam; alprazolam; zolpidem","Central depression of salivary nuclei (psycholeptics)",Moderate (psycholeptics OR ~2.59),"Wolff 2017; Tan 2018"
18,Antiepileptics,"Carbamazepine; gabapentin; topiramate","Central autonomic modulation of salivary control",Moderate,"Wolff 2017"
19,Antimuscarinic bronchodilators (inhaled),"Ipratropium; tiotropium","Inhaled antimuscarinic with local plus some systemic muscarinic blockade",Moderate,"Wolff 2017"
20,Decongestants / sympathomimetics,"Pseudoephedrine; phenylephrine","Alpha-adrenergic vasoconstriction plus reduced fluid secretion causing mucosal drying",Moderate,"Yousefi 2018"
21,Gastrointestinal antimuscarinics / antiemetics,"Atropine; glycopyrrolate; scopolamine; antimuscarinic antispasmodics","Direct muscarinic blockade",High (for true antimuscarinics),"Wolff 2017; Mortazavi 2022"
22,Cytotoxic / antineoplastic and immunomodulators,"Various chemotherapeutics","Salivary gland toxicity / mucosal effects",Variable,"Wolff 2017"
23,Retinoids,"Isotretinoin","Generalized mucocutaneous/exocrine drying (mucosal, not muscarinic)",Moderate (mucosal dryness),"Yousefi 2018"
24,Anti-HIV / antiretrovirals,"Didanosine; protease inhibitors","Salivary gland effects reported",Low-Moderate,"Wolff 2017"
